,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
345,0,0,9,12,12,12,12,12,12,8
346,12,12,12,12,12,12,2,0,0,0
347,0,0,11,12,12,12,12,12,12,9
348,12,11,0,0,0,0,0,0,0,0
349,9,12,12,4,0,0,0,0,0,0
350,9,12,12,5,0,0,0,0,0,0
351,10,12,12,4,0,0,0,0,0,0
352,0,0,10,12,12,12,12,12,12,9
353,12,12,12,12,12,12,0,0,0,0
354,10,12,12,5,0,0,0,0,0,0
355,10,12,12,5,0,0,0,0,0,0
356,10,12,12,4,0,0,0,0,0,0
357,0,0,9,12,12,12,12,12,12,10
358,12,12,12,12,12,12,2,0,0,0
359,6,12,12,6,0,0,0,0,0,0
360,6,12,12,6,0,0,0,0,0,0
361,0,0,9,12,12,12,12,12,12,10
362,12,12,12,12,12,12,1,0,0,0
363,0,0,9,12,12,12,12,12,12,6
364,12,12,12,12,12,12,1,0,0,0
365,0,0,7,12,12,12,12,12,12,10
366,12,12,12,12,12,12,1,0,0,0
367,2,12,12,10,0,0,0,0,0,0
368,0,0,7,12,12,12,12,12,12,10
369,12,12,12,12,12,12,1,0,0,0
370,0,0,8,12,12,12,12,12,12,12
371,12,12,12,12,12,12,1,0,0,0
372,0,0,8,12,12,12,12,12,12,12
373,12,12,12,12,12,12,0,0,0,0
374,0,0,7,12,12,12,12,12,12,11
375,0,0,8,12,12,12,12,12,12,11
376,6,12,12,6,0,0,0,0,0,0
377,4,12,12,8,0,0,0,0,0,0
378,9,12,12,4,0,0,0,0,0,0
379,9,12,12,4,0,0,0,0,0,0
380,9,12,12,4,0,0,0,0,0,0
381,12,12,12,5,0,0,0,0,0,0
382,12,12,12,4,0,0,0,0,0,0
383,10,12,12,4,0,0,0,0,0,0
384,10,12,12,4,0,0,0,0,0,0
385,6,12,12,6,0,0,0,0,0,0
386,6,12,12,6,0,0,0,0,0,0
387,2,12,12,4,0,0,0,0,0,0
388,2,12,12,10,0,0,0,0,0,0
389,9,12,10,0,0,0,0,0,0,0
390,0,0,12,12,12,12,12,12,12,6
391,0,0,12,12,12,12,12,12,12,7
392,0,0,11,12,12,12,12,12,12,7
393,0,0,9,12,12,12,12,12,12,10
394,0,0,10,12,12,12,12,12,12,9
395,0,0,10,12,12,12,12,12,12,7
396,0,0,10,12,12,12,12,12,12,8
397,0,0,10,12,12,12,12,12,12,9
398,0,0,11,12,12,12,12,12,12,8
399,0,0,11,12,12,12,12,12,12,9
400,0,0,11,12,12,12,12,12,12,9
401,0,0,9,12,12,12,12,12,12,6
402,0,0,7,12,12,12,12,12,12,10
403,0,0,7,12,12,12,12,12,12,10
404,0,0,8,12,12,12,12,12,12,12
405,0,0,8,12,12,12,12,12,12,12
406,0,0,7,12,12,12,12,12,12,12
407,0,0,8,12,12,12,12,12,12,11
408,0,0,8,12,12,12,12,12,12,11
409,0,0,8,12,12,12,12,12,12,11
410,2,12,12,10,0,0,0,0,0,0
411,2,12,12,10,0,0,0,0,0,0
412,6,12,12,6,0,0,0,0,0,0
413,12,12,7,0,0,0,0,0,0,0
414,12,12,7,0,0,0,0,0,0,0
415,12,12,7,0,0,0,0,0,0,0
416,12,12,7,0,0,0,0,0,0,0
417,12,12,7,0,0,0,0,0,0,0
418,12,12,7,0,0,0,0,0,0,0
419,12,12,7,0,0,0,0,0,0,0
420,12,12,7,0,0,0,0,0,0,0
421,12,12,7,0,0,0,0,0,0,0
422,12,12,7,0,0,0,0,0,0,0
423,12,12,7,0,0,0,0,0,0,0
424,12,12,7,0,0,0,0,0,0,0
425,12,12,7,0,0,0,0,0,0,0
426,12,12,7,0,0,0,0,0,0,0
427,8,12,12,0,0,0,0,0,0,0
428,8,12,12,0,0,0,0,0,0,0
429,8,12,12,0,0,0,0,0,0,0
430,8,12,12,0,0,0,0,0,0,0
431,8,12,12,0,0,0,0,0,0,0
432,8,12,12,0,0,0,0,0,0,0
433,8,12,12,0,0,0,0,0,0,0
434,8,12,12,0,0,0,0,0,0,0
435,8,12,12,0,0,0,0,0,0,0
436,8,12,12,0,0,0,0,0,0,0
437,8,12,12,0,0,0,0,0,0,0
438,8,12,12,0,0,0,0,0,0,0
439,8,12,12,0,0,0,0,0,0,0
440,8,12,12,0,0,0,0,0,0,0
441,8,12,12,0,0,0,0,0,0,0
442,8,12,12,0,0,0,0,0,0,0
443,0,0,0,0,10,12,12,0,0,0
444,0,0,0,0,10,12,12,0,0,0
445,0,0,0,0,10,12,12,0,0,0
446,0,0,0,0,10,12,12,0,0,0
447,0,0,0,0,10,12,12,0,0,0
448,0,0,0,0,10,12,12,0,0,0
449,0,0,0,0,10,12,12,0,0,0
450,0,0,0,0,10,12,12,0,0,0
451,0,0,0,0,10,12,12,0,0,0
452,0,0,0,0,10,12,12,0,0,0
453,0,0,0,0,10,12,12,0,0,0
454,0,0,0,0,10,12,12,0,0,0
455,0,0,0,0,10,12,12,0,0,0
456,0,0,0,0,10,12,12,0,0,0
457,0,0,0,0,10,12,12,0,0,0
458,0,0,0,0,4,12,12,8,0,0
459,0,0,0,0,4,12,12,8,0,0
460,0,0,0,0,4,12,12,8,0,0
461,0,0,0,0,4,12,12,8,0,0
462,0,0,0,0,4,12,12,8,0,0
463,0,0,0,0,4,12,12,8,0,0
464,0,0,0,0,4,12,12,8,0,0
465,0,0,0,0,4,12,12,8,0,0
466,0,0,0,0,4,12,12,8,0,0
467,0,0,0,0,4,12,12,8,0,0
468,0,0,0,0,4,12,12,8,0,0
469,0,0,0,0,4,12,12,8,0,0
470,0,0,0,0,4,12,12,8,0,0
471,0,0,0,0,4,12,12,8,0,0
472,0,0,0,0,4,12,12,8,0,0
473,12,12,12,12,12,2,0,0,0,0
474,12,12,12,12,12,2,0,0,0,0
475,12,12,12,12,12,2,0,0,0,0
476,12,12,12,12,12,2,0,0,0,0
477,12,12,12,12,12,2,0,0,0,0
478,4,12,12,12,12,11,0,0,0,0
479,4,12,12,12,12,11,0,0,0,0
480,4,12,12,12,12,11,0,0,0,0
481,4,12,12,12,12,11,0,0,0,0
482,4,12,12,12,12,11,0,0,0,0
483,4,12,12,12,12,11,0,0,0,0
484,12,12,12,12,12,2,0,0,0,0
485,4,12,12,12,12,11,0,0,0,0
486,4,12,12,12,12,11,0,0,0,0
487,4,12,12,12,12,11,0,0,0,0
488,4,12,12,12,12,11,0,0,0,0
489,4,12,12,12,12,11,0,0,0,0
490,4,12,12,12,12,11,0,0,0,0
491,4,12,12,12,12,11,0,0,0,0
492,4,12,12,12,12,11,0,0,0,0
493,4,12,12,12,12,11,0,0,0,0
494,4,12,12,12,12,11,0,0,0,0
495,12,12,12,12,12,2,0,0,0,0
496,4,12,12,12,12,11,0,0,0,0
497,12,12,12,12,12,2,0,0,0,0
498,12,12,12,12,12,2,0,0,0,0
499,12,12,12,12,12,2,0,0,0,0
500,12,12,12,12,12,2,0,0,0,0
501,12,12,12,12,12,2,0,0,0,0
502,12,12,12,12,12,2,0,0,0,0
503,8,12,12,12,12,12,0,0,0,0
504,11,12,12,12,12,12,0,0,0,0
505,11,12,12,12,9,0,0,0,0,0
506,11,12,12,12,12,12,0,0,0,0
507,11,12,12,12,12,12,1,0,0,0
508,11,12,12,12,12,12,0,0,0,0
509,11,12,12,12,12,12,1,0,0,0
510,9,12,12,12,12,12,1,0,0,0
511,9,12,12,12,12,12,1,0,0,0
512,9,12,12,12,12,12,1,0,0,0
513,8,12,12,12,12,12,1,0,0,0
514,9,12,12,12,12,12,1,0,0,0
515,9,12,12,12,12,12,1,0,0,0
516,10,12,12,12,12,12,0,0,0,0
517,10,12,12,12,12,12,0,0,0,0
518,10,12,12,12,12,12,0,0,0,0
519,10,12,12,12,12,12,0,0,0,0
520,10,12,12,12,12,12,0,0,0,0
521,8,12,12,12,12,12,1,0,0,0
522,8,12,12,12,12,12,1,0,0,0
523,8,12,12,12,12,12,1,0,0,0
524,8,12,12,12,12,11,0,0,0,0
525,8,12,12,12,12,12,1,0,0,0
526,2,12,12,12,12,4,0,0,0,0
527,2,12,12,12,12,4,0,0,0,0
528,1,12,12,12,12,4,0,0,0,0
529,1,12,12,12,12,4,0,0,0,0
530,3,12,12,12,12,4,0,0,0,0
531,3,12,12,12,12,4,0,0,0,0
532,12,12,12,12,12,8,0,0,0,0
533,5,12,12,12,12,5,0,0,0,0
534,2,12,12,12,12,4,0,0,0,0
535,2,12,12,12,12,4,0,0,0,0
536,3,12,12,12,12,7,0,0,0,0
537,3,12,12,12,12,7,0,0,0,0
538,1,12,12,12,12,7,0,0,0,0
539,0,12,12,12,12,7,0,0,0,0
540,5,12,12,12,12,5,0,0,0,0
541,5,12,12,12,12,5,0,0,0,0
542,4,12,12,12,12,5,0,0,0,0
543,4,12,12,12,12,5,0,0,0,0
544,4,12,12,12,12,5,0,0,0,0
545,4,12,12,12,12,5,0,0,0,0
546,3,12,12,12,12,5,0,0,0,0
547,3,12,12,12,12,5,0,0,0,0
548,5,12,12,12,12,5,0,0,0,0
549,5,12,12,12,12,5,0,0,0,0
550,4,12,12,12,12,5,0,0,0,0
551,1,12,12,12,12,5,0,0,0,0
552,1,12,12,12,12,5,0,0,0,0
553,6,12,12,12,12,6,0,0,0,0
554,6,12,12,12,12,6,0,0,0,0
555,5,12,12,12,12,6,0,0,0,0
556,5,12,12,12,12,6,0,0,0,0
557,6,12,12,12,12,5,0,0,0,0
558,6,12,12,12,12,6,0,0,0,0
559,6,12,12,12,12,6,0,0,0,0
560,8,12,12,12,12,6,0,0,0,0
561,8,12,12,12,12,6,0,0,0,0
562,7,12,12,12,12,6,0,0,0,0
563,7,12,12,12,12,6,0,0,0,0
564,6,12,12,12,12,9,0,0,0,0
565,6,12,12,12,12,9,0,0,0,0
566,6,12,12,12,12,9,0,0,0,0
567,6,12,12,12,12,9,0,0,0,0
568,12,12,12,12,12,9,0,0,0,0
569,11,12,12,12,12,9,0,0,0,0
570,11,12,12,12,12,9,0,0,0,0
571,11,12,12,12,12,9,0,0,0,0
572,10,12,12,12,12,9,0,0,0,0
573,9,12,12,12,12,9,0,0,0,0
574,9,12,12,12,12,8,0,0,0,0
575,11,12,12,1,0,0,0,0,0,0
576,10,12,12,12,12,8,0,0,0,0
577,10,12,12,12,12,8,0,0,0,0
578,9,12,12,12,12,8,0,0,0,0
579,8,12,12,12,12,7,0,0,0,0
580,8,12,12,12,12,8,0,0,0,0
581,7,12,12,12,12,8,0,0,0,0
582,7,12,12,12,12,7,0,0,0,0
583,10,12,12,12,12,7,0,0,0,0
584,10,12,12,12,12,8,0,0,0,0
585,10,12,12,12,12,7,0,0,0,0
586,9,12,12,12,12,7,0,0,0,0
587,0,6,12,4,0,0,0,0,0,0
588,0,6,9,0,0,0,0,0,0,0
589,0,6,12,4,0,0,0,0,0,0
590,0,6,12,4,0,0,0,0,0,0
591,12,2,0,0,0,0,0,0,0,0
592,12,2,0,0,0,0,0,0,0,0
593,12,12,12,12,12,12,12,12,12,2
594,12,2,0,0,0,0,0,0,0,0
