,site,trap,X,Y,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
520,SBR,CT-POC-1-21,2360652.64,3554937.728,0,0,0,0,0,0,NA,NA,NA,NA
521,SBR,CT-POC-1-22,2370084.693,3563419.596,0,1,0,0,0,0,0,NA,NA,NA
522,SBR,CT-POC-1-23,2369357.406,3563887.767,0,0,0,0,0,0,0,NA,NA,NA
523,SBR,CT-POC-1-26,2371717.29,3564025.522,0,0,0,0,0,0,0,NA,NA,NA
524,SBR,CT-POC-1-27,2370719.076,3562807.782,0,0,0,0,0,0,NA,NA,NA,NA
525,SBR,CT-POC-1-29,2364309.327,3557957.1,0,0,0,0,0,0,0,NA,NA,NA
526,TMES,CT-TDM-1-06,2349880.043,4058806.183,0,0,0,1,1,0,NA,NA,NA,NA
527,TMES,CT-TDM-1-07,2350846.868,4060098.463,0,1,0,0,1,0,NA,NA,NA,NA
528,TMES,CT-TDM-1-08,2351842.919,4061439.068,0,0,1,0,1,0,NA,NA,NA,NA
529,TMES,CT-TDM-1-09,2352771.9,4062701.765,0,0,0,0,0,0,NA,NA,NA,NA
530,TMES,CT-TDM-1-11,2349695.651,4056896.089,0,1,1,0,0,0,NA,NA,NA,NA
531,TMES,CT-TDM-1-12,2348848.581,4055668.27,1,0,0,1,0,0,NA,NA,NA,NA
532,TMES,CT-TDM-1-120,2357129.473,4055498.26,0,0,0,0,0,0,NA,NA,NA,NA
533,TMES,CT-TDM-1-121,2350820.83,4055342.949,0,1,0,0,1,0,NA,NA,NA,NA
534,TMES,CT-TDM-1-13,2347868.166,4054298.084,0,1,0,0,0,1,NA,NA,NA,NA
535,TMES,CT-TDM-1-14,2346889.381,4053051.297,0,1,0,0,0,0,NA,NA,NA,NA
536,TMES,CT-TDM-1-16,2350705.736,4058270.719,0,0,0,1,0,1,NA,NA,NA,NA
537,TMES,CT-TDM-1-17,2351635.201,4059494.209,0,0,1,0,0,0,NA,NA,NA,NA
