kamera,region,dist_fluss,seehoehe,x,y
CT-TDM-1-07,TMES,1505.330084,170.963145,-53.581913,-4.634436
CT-TDM-1-08,TMES,2930.859191,171.5581683,-53.569058,-4.634503
CT-TDM-1-09,TMES,3844.157813,174.3012346,-53.556994,-4.63447
CT-TDM-1-11,TMES,389.0229579,164.5906863,-53.606934,-4.646967
CT-TDM-1-12,TMES,1673.947359,181.3386897,-53.61841,-4.647581
CT-TDM-1-120,TMES,0,161.8140394,-53.581011,-4.734417
CT-TDM-1-121,TMES,0,178.7190184,-53.611263,-4.670456
CT-TDM-1-13,TMES,2854.10154,183.9765142,-53.631381,-4.647902
CT-TDM-1-14,TMES,4098.562902,190.6398515,-53.643587,-4.647296
CT-TDM-1-16,TMES,0,166.5796569,-53.59380112,-4.646916641
CT-TDM-1-17,TMES,1238.071987,177.2209877,-53.58197241,-4.647184946
CT-TDM-1-18,TMES,2000.791127,182.396064,-53.5685995,-4.646442309
CT-TDM-1-19,TMES,2668.714153,179.8965517,-53.556886,-4.6469
CT-TDM-1-21,TMES,0,171.0580964,-53.60587173,-4.659701725
CT-TDM-1-22,TMES,997.6222628,186.1595092,-53.61897784,-4.659856372
CT-TDM-1-23,TMES,2298.64265,171.8419753,-53.631561,-4.65956
CT-TDM-1-24,TMES,3542.381408,180.539604,-53.643237,-4.659287
CT-TDM-1-26,TMES,0,160.7784653,-53.59346702,-4.660573108
CT-TDM-1-27,TMES,55.67416848,169.9692118,-53.58190586,-4.659458399
CT-TDM-1-28,TMES,749.8741899,172.2466091,-53.569345,-4.659462
CT-TDM-1-29,TMES,1438.769999,175.8863081,-53.556483,-4.659582
CT-TDM-1-31,TMES,1079.137107,166.3638614,-53.622411,-4.672783
CT-TDM-1-32,TMES,2195.442322,171.7215347,-53.632444,-4.672892
CT-TDM-1-33,TMES,3464.811536,176.4851852,-53.643882,-4.672491
CT-TDM-1-36,TMES,690.6811112,168.6413709,-53.59459522,-4.672691077
CT-TDM-1-37,TMES,222.416897,164.8148148,-53.581883,-4.672273
CT-TDM-1-41,TMES,0,166.6567901,-53.591959,-4.684287
CT-TDM-1-42,TMES,575.4152364,172.3679012,-53.580797,-4.685691
CT-TDM-1-43,TMES,513.1503185,171.8118812,-53.568135,-4.684735
CT-TDM-1-44,TMES,0,165.407911,-53.556526,-4.684583
CT-TDM-1-46,TMES,625.6935763,173.615099,-53.568526,-4.698073
CT-TDM-1-47,TMES,771.9106071,173.7745098,-53.556089,-4.697537
CT-TDM-1-48,TMES,193.746965,171.9678218,-53.543777,-4.69766
CT-TDM-1-51,TMES,546.1981398,166.1001236,-53.568581,-4.709954
CT-TDM-1-52,TMES,1220.023652,181.3173432,-53.556329,-4.709992
CT-TDM-1-53,TMES,1313.864559,183.4487021,-53.543602,-4.710094
CT-TDM-1-54,TMES,524.5614693,175.4742015,-53.531097,-4.709758
CT-TDM-1-61,TMES,691.751168,188.6034483,-53.55617249,-4.722277243
CT-TDM-1-62,TMES,2170.6025,177.4802956,-53.54295692,-4.722239021
CT-TDM-1-63,TMES,1879.530648,182.1412776,-53.53050962,-4.722769177
CT-TDM-1-64,TMES,1550.148283,195.4419753,-53.51873397,-4.722544039
CT-TDM-1-66,TMES,623.3335449,168.100861,-53.568433,-4.735447
CT-TDM-1-67,TMES,1288.354504,173.2781211,-53.55566908,-4.735489804
CT-TDM-1-68,TMES,1885.089597,178.9306931,-53.54380391,-4.735565912
CT-TDM-1-72,TMES,1087.959189,185.5693069,-53.593499,-4.748237
CT-TDM-1-73,TMES,1286.453548,185.4869888,-53.606095,-4.748357
CT-TDM-1-74,TMES,585.2461978,176.2475369,-53.61888,-4.748456
CT-TDM-1-75,TMES,0,181.1233046,-53.631299,-4.749131
CT-TDM-1-76,TMES,0,171.1197531,-53.555552,-4.748074
CT-TDM-1-77,TMES,947.6809351,177.7546012,-53.543641,-4.74756
CT-TDM-1-78,TMES,2162.455871,174.9059406,-53.531312,-4.747948
CT-TDM-1-79,TMES,3495.033509,182.9555006,-53.518174,-4.748157
CT-TDM-1-81,TMES,0,169.8423645,-53.555707,-4.760732
CT-TDM-1-82,TMES,666.9962892,182.254321,-53.569232,-4.760006
CT-TDM-1-83,TMES,1184.12521,178.0514076,-53.580748,-4.760266
CT-TDM-1-84,TMES,1774.685002,179.546798,-53.592359,-4.759841
CT-TDM-1-86,TMES,470.980843,163.8041872,-53.54268509,-4.760568794
CT-TDM-1-87,TMES,1774.360793,169.2628993,-53.53083744,-4.76058824
CT-TDM-1-88,TMES,3174.15311,172.8093481,-53.51826106,-4.760449016
CT-TDM-1-89,TMES,4625.822093,189.7008653,-53.50524363,-4.760757135
DEER 1,PNM,3199.893545,114.968059,-63.785668,-7.622816
DEER 2,PNM,2394.633796,138.4526445,-63.777094,-7.71717
DEER 3,PNM,3072.362116,121.8745387,-63.755499,-7.555194
DEER 4,PNM,3117.469144,155.6765432,-63.762187,-7.572921
ESTRADA1,PNCA,3111.341249,62.77233782,-61.09339,-8.098904
ESTRADA2,PNCA,1787.487698,63.43788438,-61.07493,-8.09762
ESTRADA3,PNCA,2172.099789,64.50742574,-61.107295,-8.100257
ESTRADA4,PNCA,1359.163006,61.65228113,-61.111342,-8.080359
ESTRADA5,PNCA,2214.906353,61.07434944,-61.100818,-8.123161
ex1,RDSA,2132.398206,84.57549505,-64.63371,-2.46682
ex10,RDSA,207.7965422,106.8986403,-64.59741,-2.47602
ex11,RDSA,3765.372549,119.1790123,-64.59693,-2.52329
EX1106D1,PNM,3746.143168,135.2848411,-64.582043,-8.68775
EX1106D2,PNM,1286.819455,151.3518519,-64.562426,-8.709995
EX1106D3,PNM,1847.628329,179.3872549,-64.540506,-8.734861
EX1106D4,PNM,2671.728745,182.461063,-64.516338,-8.762681
ex12,RDSA,432.6748011,120.6946848,-64.61614,-2.44707
EX1206D1,PNM,3199.73968,92.13569682,-64.462716,-8.824788
EX1206D2,PNM,937.8376013,91.72570726,-64.48216,-8.85535
ex13,RDSA,2552.059341,137.7123457,-64.5852,-2.4422
EX1306D1,PNM,1025.554982,91.51105651,-64.64837,-8.945974
ex14,RDSA,808.3856962,145.6200495,-64.5695,-2.45762
EX1506D1,PNM,1560.716003,109.0892193,-64.71771,-8.95018
EX1506D2,PNM,1149.411225,87.98029557,-64.682777,-8.9468
EX1606D1,PNM,1247.156879,102.7780518,-64.797146,-8.943296
EX1606D2,PNM,3930.040614,103.4938272,-64.77473,-8.952865
EX1606D3,PNM,2586.112403,107.1308642,-64.745536,-8.958175
EX1806D1,PNM,2603.352653,110.299511,-65.080319,-9.392238
EX1806D2,PNM,5232.977457,103.6279357,-65.013312,-9.383469
EX1806D3,PNM,6023.765865,105.1428571,-65.175649,-9.472084
EX1806D4,PNM,6694.033846,63.03589109,-65.07572,-9.568341
EX1806D5,PNM,7745.901603,62.43478261,-65.042535,-9.526611
ex2,RDSA,2340.791228,109.1709717,-64.65104,-2.44058
ex3,RDSA,723.619581,120.173482,-64.65413,-2.46171
ex4,RDSA,1337.786266,95.72986369,-64.68665,-2.44193
ex5,RDSA,3433.0841,84.26017263,-64.62457,-2.53518
ex6,RDSA,1530.144295,79.56736712,-64.62861,-2.50436
ex7,RDSA,1808.532997,87.57462687,-64.64535,-2.51202
ex8,RDSA,1106.567106,96.98529412,-64.57435,-2.5061
ex9,RDSA,1082.22131,93.95191122,-64.59876,-2.45737
F113R,PNM,1076.6775,51.18249075,-64.083194,-7.972515
F114R,PNM,633.1306123,84.96291718,-64.056992,-7.962011
F115R,PNM,3877.406926,83.74229346,-64.0487,-8.030316
F128R,PNM,5093.062559,80.6601227,-64.480763,-8.794851
F200R,PNM,609.7146,90.85171569,-63.838995,-7.7765
F41,PNCA,3238.102997,58.05644172,-61.003948,-7.938418
F41B,PNCA,531.1009379,61.65598027,-60.910273,-8.529829
F42,PNCA,1521.131981,54.39114391,-61.063302,-8.150512
F42B,PNCA,1627.898879,62.20642769,-60.890788,-8.527658
F43,PNCA,421.2618049,61.35148515,-60.939779,-8.025006
F43B,PNCA,2405.56238,65.27590512,-60.931571,-8.551676
F44,PNCA,1075.668648,62.86346863,-60.941189,-8.002348
